Date,Close Price
28-Feb-25,5954.5
27-Feb-25,5861.57
26-Feb-25,5956.06
25-Feb-25,5955.25
24-Feb-25,5983.25
21-Feb-25,6013.13
20-Feb-25,6117.52
19-Feb-25,6144.15
18-Feb-25,6129.58
14-Feb-25,6114.63
13-Feb-25,6115.07
12-Feb-25,6051.97
11-Feb-25,6068.5
10-Feb-25,6066.44
7-Feb-25,6025.99
6-Feb-25,6083.57
5-Feb-25,6061.48
4-Feb-25,6037.88
3-Feb-25,5994.57
31-Jan-25,6040.53
30-Jan-25,6071.17
29-Jan-25,6039.31
28-Jan-25,6067.7
27-Jan-25,6012.28
24-Jan-25,6101.24
23-Jan-25,6118.71
22-Jan-25,6086.37
21-Jan-25,6049.24
17-Jan-25,5996.66
16-Jan-25,5937.34
15-Jan-25,5949.91
14-Jan-25,5842.91
13-Jan-25,5836.22
10-Jan-25,5827.04
8-Jan-25,5918.25
7-Jan-25,5909.03
6-Jan-25,5975.38
3-Jan-25,5942.47
2-Jan-25,5868.55
31-Dec-24,5881.63
30-Dec-24,5906.94
27-Dec-24,5970.84
26-Dec-24,6037.59
24-Dec-24,6040.04
23-Dec-24,5974.07
20-Dec-24,5930.85
19-Dec-24,5867.08
18-Dec-24,5872.16
17-Dec-24,6050.61
16-Dec-24,6074.08
13-Dec-24,6051.09
12-Dec-24,6051.25
11-Dec-24,6084.19
10-Dec-24,6034.91
9-Dec-24,6052.85
6-Dec-24,6090.27
5-Dec-24,6075.11
4-Dec-24,6086.49
3-Dec-24,6049.88
2-Dec-24,6047.15
29-Nov-24,6032.38
27-Nov-24,5998.74
26-Nov-24,6021.63
25-Nov-24,5987.37
22-Nov-24,5969.34
21-Nov-24,5948.71
20-Nov-24,5917.11
19-Nov-24,5916.98
18-Nov-24,5893.62
15-Nov-24,5870.62
14-Nov-24,5949.17
13-Nov-24,5985.38
12-Nov-24,5983.99
11-Nov-24,6001.35
8-Nov-24,5995.54
7-Nov-24,5973.1
6-Nov-24,5929.04
5-Nov-24,5782.76
4-Nov-24,5712.69
1-Nov-24,5728.8
31-Oct-24,5705.45
30-Oct-24,5813.67
29-Oct-24,5832.92
28-Oct-24,5823.52
25-Oct-24,5808.12
24-Oct-24,5809.86
23-Oct-24,5797.42
22-Oct-24,5851.2
21-Oct-24,5853.98
18-Oct-24,5864.67
17-Oct-24,5841.47
16-Oct-24,5842.47
15-Oct-24,5815.26
14-Oct-24,5859.85
11-Oct-24,5815.03
10-Oct-24,5780.05
9-Oct-24,5792.04
8-Oct-24,5751.13
7-Oct-24,5695.94
4-Oct-24,5751.07
3-Oct-24,5699.94
2-Oct-24,5709.54
1-Oct-24,5708.75
30-Sep-24,5762.48
27-Sep-24,5738.17
26-Sep-24,5745.37
25-Sep-24,5722.26
24-Sep-24,5732.93
23-Sep-24,5718.57
20-Sep-24,5702.55
19-Sep-24,5713.64
18-Sep-24,5618.26
17-Sep-24,5634.58
16-Sep-24,5633.09
13-Sep-24,5626.02
12-Sep-24,5595.76
11-Sep-24,5554.13
10-Sep-24,5495.52
9-Sep-24,5471.05
6-Sep-24,5408.42
5-Sep-24,5503.41
4-Sep-24,5520.07
3-Sep-24,5528.93
30-Aug-24,5648.4
29-Aug-24,5591.96
28-Aug-24,5592.18
27-Aug-24,5625.8
26-Aug-24,5616.84
23-Aug-24,5634.61
22-Aug-24,5570.64
21-Aug-24,5620.85
20-Aug-24,5597.12
19-Aug-24,5608.25
16-Aug-24,5554.25
15-Aug-24,5543.22
14-Aug-24,5455.21
13-Aug-24,5434.43
12-Aug-24,5344.39
9-Aug-24,5344.16
8-Aug-24,5319.31
7-Aug-24,5199.5
6-Aug-24,5240.03
5-Aug-24,5186.33
2-Aug-24,5346.56
1-Aug-24,5446.68
31-Jul-24,5522.3
30-Jul-24,5436.44
29-Jul-24,5463.54
26-Jul-24,5459.1
25-Jul-24,5399.22
24-Jul-24,5427.13
23-Jul-24,5555.74
22-Jul-24,5564.41
19-Jul-24,5505
18-Jul-24,5544.59
17-Jul-24,5588.27
16-Jul-24,5667.2
15-Jul-24,5631.22
12-Jul-24,5615.35
11-Jul-24,5584.54
10-Jul-24,5633.91
9-Jul-24,5576.98
8-Jul-24,5572.85
5-Jul-24,5567.19
3-Jul-24,5537.02
2-Jul-24,5509.01
1-Jul-24,5475.09
28-Jun-24,5460.48
27-Jun-24,5482.87
26-Jun-24,5477.9
25-Jun-24,5469.3
24-Jun-24,5447.87
21-Jun-24,5464.62
20-Jun-24,5473.17
18-Jun-24,5487.03
17-Jun-24,5473.23
14-Jun-24,5431.6
13-Jun-24,5433.74
12-Jun-24,5421.03
11-Jun-24,5375.32
10-Jun-24,5360.79
7-Jun-24,5346.99
6-Jun-24,5352.96
5-Jun-24,5354.03
4-Jun-24,5291.34
3-Jun-24,5283.4
31-May-24,5277.51
30-May-24,5235.48
29-May-24,5266.95
28-May-24,5306.04
24-May-24,5304.72
23-May-24,5267.84
22-May-24,5307.01
21-May-24,5321.41
20-May-24,5308.13
17-May-24,5303.27
16-May-24,5297.1
15-May-24,5308.15
14-May-24,5246.68
13-May-24,5221.42
10-May-24,5222.68
9-May-24,5214.08
8-May-24,5187.67
7-May-24,5187.7
6-May-24,5180.74
3-May-24,5127.79
2-May-24,5064.2
1-May-24,5018.39
30-Apr-24,5035.69
29-Apr-24,5116.17
26-Apr-24,5099.96
25-Apr-24,5048.42
24-Apr-24,5071.63
23-Apr-24,5070.55
22-Apr-24,5010.6
19-Apr-24,4967.23
18-Apr-24,5011.12
17-Apr-24,5022.21
16-Apr-24,5051.41
15-Apr-24,5061.82
12-Apr-24,5123.41
11-Apr-24,5199.06
10-Apr-24,5160.64
9-Apr-24,5209.91
8-Apr-24,5202.39
5-Apr-24,5204.34
4-Apr-24,5147.21
3-Apr-24,5211.49
2-Apr-24,5205.81
1-Apr-24,5243.77
28-Mar-24,5254.35
27-Mar-24,5248.49
26-Mar-24,5203.58
25-Mar-24,5218.19
22-Mar-24,5234.18
21-Mar-24,5241.53
20-Mar-24,5224.62
19-Mar-24,5178.51
18-Mar-24,5149.42
15-Mar-24,5117.09
14-Mar-24,5150.48
13-Mar-24,5165.31
12-Mar-24,5175.27
11-Mar-24,5117.94
8-Mar-24,5123.69
7-Mar-24,5157.36
6-Mar-24,5104.76
5-Mar-24,5078.65
4-Mar-24,5130.95
1-Mar-24,5137.08
29-Feb-24,5096.27
28-Feb-24,5069.76
27-Feb-24,5078.18
26-Feb-24,5069.53
23-Feb-24,5088.8
22-Feb-24,5087.03
21-Feb-24,4981.8
20-Feb-24,4975.51
16-Feb-24,5005.57
15-Feb-24,5029.73
14-Feb-24,5000.62
13-Feb-24,4953.17
12-Feb-24,5021.84
9-Feb-24,5026.61
8-Feb-24,4997.91
7-Feb-24,4995.06
6-Feb-24,4954.23
5-Feb-24,4942.81
2-Feb-24,4958.61
1-Feb-24,4906.19
31-Jan-24,4845.65
30-Jan-24,4924.97
29-Jan-24,4927.93
26-Jan-24,4890.97
25-Jan-24,4894.16
24-Jan-24,4868.55
23-Jan-24,4864.6
22-Jan-24,4850.43
19-Jan-24,4839.81
18-Jan-24,4780.94
17-Jan-24,4739.21
16-Jan-24,4765.98
12-Jan-24,4783.83
11-Jan-24,4780.24
10-Jan-24,4783.45
9-Jan-24,4756.5
8-Jan-24,4763.54
5-Jan-24,4697.24
4-Jan-24,4688.68
3-Jan-24,4704.81
2-Jan-24,4742.83
29-Dec-23,4769.83
28-Dec-23,4783.35
27-Dec-23,4781.58
26-Dec-23,4774.75
22-Dec-23,4754.63
21-Dec-23,4746.75
20-Dec-23,4698.35
19-Dec-23,4768.37
18-Dec-23,4740.56
15-Dec-23,4719.19
14-Dec-23,4719.55
13-Dec-23,4707.09
12-Dec-23,4643.7
11-Dec-23,4622.44
8-Dec-23,4604.37
7-Dec-23,4585.59
6-Dec-23,4549.34
5-Dec-23,4567.18
4-Dec-23,4569.78
1-Dec-23,4594.63
30-Nov-23,4567.8
29-Nov-23,4550.58
28-Nov-23,4554.89
27-Nov-23,4550.43
24-Nov-23,4559.34
22-Nov-23,4556.62
21-Nov-23,4538.19
20-Nov-23,4547.38
17-Nov-23,4514.02
16-Nov-23,4508.24
15-Nov-23,4502.88
14-Nov-23,4495.7
13-Nov-23,4411.55
10-Nov-23,4415.24
9-Nov-23,4347.35
8-Nov-23,4382.78
7-Nov-23,4378.38
6-Nov-23,4365.98
3-Nov-23,4358.34
2-Nov-23,4317.78
1-Nov-23,4237.86
31-Oct-23,4193.8
30-Oct-23,4166.82
27-Oct-23,4117.37
26-Oct-23,4137.23
25-Oct-23,4186.77
24-Oct-23,4247.68
23-Oct-23,4217.04
20-Oct-23,4224.16
19-Oct-23,4278
18-Oct-23,4314.6
17-Oct-23,4373.2
16-Oct-23,4373.63
13-Oct-23,4327.78
12-Oct-23,4349.61
11-Oct-23,4376.95
10-Oct-23,4358.24
9-Oct-23,4335.66
6-Oct-23,4308.5
5-Oct-23,4258.19
4-Oct-23,4263.75
3-Oct-23,4229.45
2-Oct-23,4288.39
29-Sep-23,4288.05
28-Sep-23,4299.7
27-Sep-23,4274.51
26-Sep-23,4273.53
25-Sep-23,4337.44
22-Sep-23,4320.06
21-Sep-23,4330
20-Sep-23,4402.2
19-Sep-23,4443.95
18-Sep-23,4453.53
15-Sep-23,4450.32
14-Sep-23,4505.1
13-Sep-23,4467.44
12-Sep-23,4461.9
11-Sep-23,4487.46
8-Sep-23,4457.49
7-Sep-23,4451.14
6-Sep-23,4465.48
5-Sep-23,4496.83
1-Sep-23,4515.77
31-Aug-23,4507.66
30-Aug-23,4514.87
29-Aug-23,4497.63
28-Aug-23,4433.31
25-Aug-23,4405.71
24-Aug-23,4376.31
23-Aug-23,4436.01
22-Aug-23,4387.55
21-Aug-23,4399.77
18-Aug-23,4369.71
17-Aug-23,4370.36
16-Aug-23,4404.33
15-Aug-23,4437.86
14-Aug-23,4489.72
11-Aug-23,4464.05
10-Aug-23,4468.83
9-Aug-23,4467.71
8-Aug-23,4499.38
7-Aug-23,4518.44
4-Aug-23,4478.03
3-Aug-23,4501.89
2-Aug-23,4513.39
1-Aug-23,4576.73
31-Jul-23,4588.96
28-Jul-23,4582.23
27-Jul-23,4537.41
26-Jul-23,4566.75
25-Jul-23,4567.46
24-Jul-23,4554.64
21-Jul-23,4536.34
20-Jul-23,4534.87
19-Jul-23,4565.72
18-Jul-23,4554.98
17-Jul-23,4522.79
14-Jul-23,4505.42
13-Jul-23,4510.04
12-Jul-23,4472.16
11-Jul-23,4439.26
10-Jul-23,4409.53
7-Jul-23,4398.95
6-Jul-23,4411.59
5-Jul-23,4446.82
3-Jul-23,4455.59
30-Jun-23,4450.38
